championonyxe,~
Frontier? Vader,@
Frontier Lapry?,@
∆King Arani∆,&
∆Gym Ldr Leaf∆,%
E4 Jeratt?,&
E4 Frostie,+
Gym Trainer Bush,$
Skarr,+
Champiön Nöah?,~
†E4 Toast†,&
†Gym Ldr. Gary†,%
BlakJack,+
∆GymTRNRCubone∆,$
Frontier? Ascher?,@
∆Gym TRNR One∆,$
Frontierhead?Bart,~
†Champion Sly†,+
Gym Ldr. Lynne?,%
∆E4 Lynne∆,&
Zeppy,+
Gym Ldr. Neith?,%
∆Frontier∆ B\m/,@
Gym Ldr. Core?,%
∆Gym TRNR Matt99∆,$
∆Gym Ldr Spelings∆,%
∆Frontier∆ Abadon,@
Gym Ldr Vanilla?,%
Gym Ldr. Just,%
Nightanglet,+
Bursting Myths,+
